 M_T	HIFFloxFPBS1-C18Neg	HIFFloxFPBS2-C18Neg	HIFFloxFPBS5-C18Neg	HIFFloxFPBS6-C18Neg	HIFFloxFPBS7-C18Neg	HIFFloxFPBS8-C18Neg	HIFmsdFPBS1-C18Neg	HIFmsdFPBS2-C18Neg	HIFmsdFPBS3-C18Neg	HIFmsdFPBS4-C18Neg	HIFmsdFPBS5-C18Neg	HIFmsdFPBS6-C18Neg	HIFFloxMPBS1-C18Neg	HIFFloxMPBS2-C18Neg	HIFFloxMPBS3-C18Neg	HIFFloxMPBS4-C18Neg	HIFFloxMPBS7-C18Neg	HIFFloxMPBS8-C18Neg	HIFmsdMPBS1-C18Neg	HIFmsdMPBS3-C18Neg	HIFmsdMPBS4-C18Neg	HIFmsdMPBS5-C18Neg	HIFmsdMPBS6-C18Neg	HIFmsdMPBS8-C18Neg
235.01040495092_60.193537205161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
445.020511214753_53.367842872871	36591.24496	29021.40593	61806.36767	52398.05614	42079.99346	88277.5097	67739.69424	107383.3162	17521.00224	74673.30312	67424.4354	41899.67341	0	0	11383.95921	0	58850.40192	0	0	0	15741.60118	31884.9133	9752.943211	19646.39297
375.881161141054_29.3549851584231	0	9542.721279	8965.781858	8223.109573	5603.895065	3369.530935	12427.3074	7315.798659	5744.416054	10264.84863	9322.683811	4071.284496	6513.527963	11657.44815	9309.193283	5304.282696	4001.835032	0	13555.53023	11676.59589	12339.44396	9539.384028	8173.442793	9835.793733
147.979409854622_761.393324113636	57454.71502	88635.7352	0	133269.9189	116041.0645	79281.8647	140902.6621	94379.01134	64896.43672	29214.03845	97017.32314	63199.01087	53645.4966	186322.9479	164599.2707	88175.92827	59572.21989	71196.09629	99199.76984	107853.3283	16093.62653	119467.4466	110480.9179	67339.30527
196.942316611441_29.7527334766419	14987.01484	4038.474897	10513.34797	14483.73982	10908.23629	5631.83392	15891.31812	16035.29095	4089.168669	6904.891614	11426.76582	7431.584919	0	0	0	16487.98353	13070.88973	4980.454983	15164.76296	6068.932461	6510.677748	11675.98794	10474.7105	12345.06584
303.916253837794_29.7517792713258	23710.9626	30879.18349	18879.03792	35840.84576	24037.20935	15262.46072	34983.76606	22619.65872	31672.31488	11600.92064	35059.06603	23897.41735	15114.068	13617.10431	0	26907.35647	21617.22276	15252.55958	25817.77058	15894.19142	19203.05564	25249.39223	27257.7313	27257.89559
212.11872402185_244.549383731424	1467.007642	1169.862088	1544.814119	1699.153466	2210.89111	1589.260721	3490.909577	1707.083484	2068.650544	445.4718628	0	1346.864976	0	0	597.3333907	0	1204.140926	1628.34803	1830.09205	777.6284893	0	1517.290144	0	1404.636267
259.045751620503_60.4046142735729	7012.18426	5045.660689	10227.25471	5642.845213	5640.593755	6528.187577	4168.126063	6469.634015	3692.236114	0	9390.514352	5245.764029	9133.502334	4446.938674	0	0	5403.670717	0	6954.438543	10282.94149	6430.415439	0	3938.9482	8734.002864
468.597456928409_66.2305730530307	0	1540.133555	2006.292102	3150.724508	2378.715659	1924.036535	2287.004291	1289.253286	0	0	0	0	2141.633168	2237.828381	1593.01103	3282.048818	3526.132547	0	0	1567.646536	1262.812964	1594.466659	2145.08137	2574.468042
323.189225783558_456.446256526637	0	0	0	0	0	0	0	0	0	0	0	958.8139286	973.2074848	0	0	0	0	0	0	862.6374977	0	0	0	958.2769291
105.019886876579_579.231337275317	0	0	0	0	0	0	266.6997294	52924.17883	14546.29869	0	0	11372.73877	0	0	18427.15392	0	0	14937.14142	0	14308.28336	0	0	0	0
73.9701875220809_50.4816246297321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175.12422
263.046301826261_71.8289950821896	2139.277908	1888.178546	2762.382679	2784.56059	2081.523358	0	3015.064112	0	4211.661147	1905.419605	0	0	1525.205707	2384.830575	1372.913997	0	0	3006.186605	2166.245515	0	1445.270963	0	0	1242.146009
240.025957301253_42.8872948417809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197967.0293	0	0	0	0	0	0
296.023644410258_42.0708902234946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251.016985753603_103.239040309706	0	0	1283.042583	761.7477294	0	0	1587.46923	0	1474.534426	0	0	1571.052418	1285.159768	0	0	0	524.4216872	0	0	0	921.8486789	1542.361638	0	0
210.970686103524_216.759642240623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348.090051423887_112.705516502773	0	0	0	0	0	765.7782171	690.6418953	1569.67371	1787.331492	1189.828628	1104.400326	0	0	0	0	0	0	17840.11968	1242.689636	0	1149.190045	573.0484787	0	0
657.201317286611_194.939035609667	1073.410688	0	0	0	1544.175115	0	0	0	0	1525.687656	0	0	0	0	0	0	0	0	2104.988722	0	0	0	0	0
238.110432695349_71.1799108807007	0	1298.87687	0	1425.437042	0	1409.518328	1435.87674	0	0	979.2081677	0	0	0	2334.479509	2564.374328	1789.798367	1301.492196	1728.073145	0	0	0	0	2269.273931	0
688.166610512188_45.4494062803076	0	0	0	3967.812991	0	0	0	5013.329894	0	0	0	0	0	0	0	0	4064.940366	0	8040.419702	2703.415287	2707.974698	3204.785448	0	0
132.066865745475_44.969810682339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
357.920151129863_40.965100171028	9950.633782	11069.20017	12992.59509	9384.021348	11598.27031	11327.24683	7871.877577	13045.43136	0	10607.35972	10290.81179	11308.94907	5090.863788	0	7298.892548	0	7438.534367	0	0	8896.458562	7201.484993	6710.866073	7029.508939	5300.786121
238.076484470703_239.961679674495	1244.027521	1084.912331	3068.878745	1560.105919	2391.67985	1926.867032	5159.543749	1418.319132	1523.909948	684.0104649	0	1834.99433	884.7279639	0	0	459.9960632	0	966.9169407	2360.243976	893.2427248	0	1339.683295	0	1081.967573
145.051130015234_81.0236161142755	0	0	161767.0179	0	0	0	0	0	13456.17147	6602.920098	149180.4289	13696.23853	0	4807.738221	0	0	30115.4872	0	38305.01636	8722.553044	0	6887.33451	0	14187.75441
395.418955915399_49.7449661275496	3114.771824	0	4252.906345	0	0	0	0	1690.744976	0	0	0	2843.26682	5167.214543	3034.579291	968.7774571	0	0	0	4304.94786	2992.586863	870.1647911	0	0	3645.512305
87.0448816907977_680.519723453485	135799.6162	174442.1699	181870.5976	220735.6671	201235.5521	190848.9198	0	0	0	128013.6527	0	0	140658.4659	161175.7546	188910.5188	161091.198	199219.0092	168176.7967	145842.2552	125715.938	0	0	0	152442.2103
